keywords,sentiment_coeff,TFIDF
project,-1.1456403772612576,0.0
gutenberg,-1.1829464794136269,0.0
ebook,-1.1139392087731277,0.0
sherlock,1.1343413714801551,0.0
holmes,1.1246702717599097,0.0
sir,1.142015274498939,0.0
arthur,1.1185592486877685,0.0
15,-1.1849127362482128,0.0
series,-1.1551650689663806,0.0
copyright,-1.0726826500989175,0.0
laws,-1.177740841099288,0.0
changing,1.0851687588532888,0.0
world,-1.1173666434988028,0.0
sure,1.3595914576946728,0.0
check,-1.1400886878572165,0.0
country,-1.1387949159982331,0.0
first,-1.1266742441188755,0.0
thing,1.2466204396896277,0.0
seen,1.1871733807516909,0.0
file,-1.106640822710278,0.0
please,1.2082246260861491,0.0
remove,-1.1682806449359735,0.0
change,-1.1181544131597678,0.0
without,1.15251400969485,0.0
written,1.0891649677854045,0.0
permission,1.0904513534522144,0.0
read,1.1243928440243902,0.0
legal,-1.13292664060738,0.0
small,-1.0929546601559257,0.0
print,-1.0604802259344086,0.0
information,-1.0548918210375535,0.0
bottom,1.088283237715317,0.0
included,-1.2200837945013894,0.0
important,-1.1524956026280766,0.0
specific,-1.3167162073822714,0.0
rights,-1.1964292302237285,0.0
restrictions,-1.3801127462164853,0.0
may,-1.1933776171045207,0.0
used,1.0892366338915107,0.0
also,-1.2588624923402632,0.0
find,1.2222409063744573,0.0
make,1.147342451223471,0.0
get,1.1925622865063097,0.0
involved,-1.2831283431554834,0.0
free,-1.1719177390111473,0.0
plain,1.1889801731614729,0.0
electronic,-1.1444837260760026,0.0
ebooks,-1.0926818352921766,0.0
since,1.1110297274288754,0.0
prepared,1.1422157210728447,0.0
thousands,1.054155385177929,0.0
volunteers,-1.2256802678595415,0.0
!,1.2560385777781042,0.0
title,-1.1748287786516471,0.0
author,1.1235487003335851,0.0
release,-1.1139986545400382,0.0
date,-1.1330958189956015,0.0
march,-1.0270921924755685,0.0
recently,1.223069351871676,0.0
november,-1.092846800129702,0.0
29,-1.2829195839125158,0.0
edition,-1.2827043361004136,0.0
12,-1.2492645040002759,0.0
language,-1.1295850445399218,0.0
english,-1.0747956740944604,0.0
character,-1.239128060082036,0.0
set,1.1314171965495117,0.0
start,1.17663578388428,0.0
additional,-1.2829161498604718,0.0
contents,-1.0807237039073887,0.0
ii,-1.1311148727064828,0.0
red,1.0445239906223491,0.0
headed,1.0222988442839809,0.0
league,-1.0850072565923978,0.0
iii,-1.0671442969875469,0.0
case,-1.1476198669850584,0.0
iv,-1.196064311339449,0.0
valley,-1.0606083255520822,0.0
mystery,1.1841234858109717,0.0
v,-1.1645059883771505,0.0
five,1.0131950548920612,0.0
orange,-1.1249326016908086,0.0
vi,-1.1643374759632883,0.0
man,1.1708782372464386,0.0
twisted,-1.064948239159207,0.0
lip,1.0440966418056483,0.0
vii,-1.2315990091915217,0.0
adventure,1.02381561329731,0.0
blue,1.1494886773940176,0.0
viii,-1.1782835365780282,0.0
band,1.090180188188722,0.0
ix,-1.2187364282709146,0.0
thumb,-1.0217192900074128,0.0
x,-1.0636869783808962,0.0
noble,1.1288417443299474,0.0
xi,-1.2210274870612865,0.0
coronet,1.3405049032023837,0.0
xii,-1.1706839537128304,0.0
copper,1.0941358613449634,0.0
always,1.2230268335819159,0.0
woman,1.1346955955746834,0.0
seldom,-1.0950723305807648,0.0
heard,1.3261789308447645,0.0
mention,1.1255942205299596,0.0
name,1.0826718832698892,0.0
eyes,1.2330295336739256,0.0
whole,1.081883079902505,0.0
felt,1.3277514374270487,0.0
emotion,1.2878502093886055,0.0
love,1.1988460125327471,0.0
one,1.1966597441442772,0.0
particularly,-1.146624811997693,0.0
cold,1.103541161511162,0.0
mind,1.2233601536812042,0.0
take,1.0747903682890771,0.0
perfect,-1.2288575926797591,0.0
reasoning,-1.2369469955878762,0.0
observing,-1.3801004800364989,0.0
machine,-1.1312128554037526,0.0
lover,1.3919506754811273,0.0
would,1.2528687568204977,0.0
placed,-1.131690140885827,0.0
false,1.0501352012402634,0.0
position,1.1057764754528168,0.0
never,1.2175969311489014,0.0
spoke,1.3941026663695977,0.0
passions,1.1940957361853408,0.0
save,1.0460312735943744,0.0
things,1.2693884379999942,0.0
excellent,1.1190263727666607,0.0
drawing,1.1829810748549054,0.0
men,1.1306122088623891,0.0
actions,-1.1216580240070768,0.0
trained,1.2581637392975784,0.0
admit,-1.166130092867561,0.0
delicate,1.0821936317979597,0.0
introduce,1.4324872318770348,0.0
factor,-1.3301798504209372,0.0
might,1.1916537456129246,0.0
throw,1.2526446712432309,0.0
doubt,1.2309139824557966,0.0
